593509,1970,968891542
16679,99,42573103
33572,99,26223658
3383,99,200000000
2391,99,200000000
4733,99,174594546
7962,99,15751134
1186,99,153140707
962391,82,2454454
1482957,72,903202
1130832,74,1196090
1837400,65,456506
1266310,77,1487949
425975,89,5301487
668797,79,1912166
1022276,76,1364377
548410,82,2469270
146280,96,9976068
795676,76,1344832
499,99,117321530
502657,93,7209150
819846,67,553858
1183891,70,778645
816396,79,1878810
-1,1,0
-1,0
-1,0
-1,0
-1,0
-1,0
-1,0
-1,0
956235,36
-1,0
-1,0
421416,36
-1,0
-1,0
-1,0
-1,496
-1,1971
75487,1416
791213,34
-1,0
-1,423
283279,56
7100,3799
7003,414
146589,327
197556,6
338639,210
195309,240
2494,276
73244,292
295263,7
6067,3994
32258,697
52540,57
34163,200
18853,340
2241,2649
2393,2652
12998,402
981,5071
1463,5018
941,5217
234378,25
-1,0
-1,1
166,15831
38516,1280
386674,25
-1,4
40137,368
5106,3400
10486,6135
25,21644
457,5013
-1,1
-1,0
-1,0
-1,0
9383,2653
114580,11
-1,0
40876,39
188144,60
18258,1363
153029,30
50743,313
-1,0
537,315
-1,0
-1,0
886325,21
-1,0
-1,0
220024,31
-1,4
33393,494
-1,1
129070,5
-1,0
1963,6287
810,506
76673,120
-1,0
32937,26
166010,27
166288,37
45871,217
263794,364
1653151,20
-1,0
250239,36
74202,1643
