78235,2326,380868527
137104,99,18760585
251203,99,14027761
181481,99,24393251
100457,99,47849933
82038,99,52375934
251988,94,8003443
70557,99,30450068
551175,94,8009948
175442,99,13190622
193815,99,13073047
85815,99,13452434
103902,99,13796028
163300,99,13193585
235228,90,5569575
225143,96,9934201
204513,94,8102820
152433,94,8162981
166943,99,13117577
138583,99,15113403
384652,97,11699395
166535,91,6372195
126506,99,13051352
126368,99,13080848
118119,91,6087541
-1,0
-1,0
-1,0
-1,0
-1,0
-1,0
-1,0
35449,1403
36744,249
26439,364
33328,456
96074,248
69392,78
237057,8
37292,1698
115887,2568
116396,776
77186,374
147495,5198
38443,727
137234,320
14765,2767
54590,94
157444,212
-1,0
666682,71
420077,15
-1,2
-1,0
71117,231
355546,32
63878,388
-1,1
287689,8
-1,0
83749,269
150408,38
-1,0
-1,4
261997,197
496131,6
370829,10
-1,0
139951,94
47854,865
95971,492
248897,73
242771,56
129228,145
664583,18
395848,595
-1,2
183619,78
59160,287
-1,0
-1,0
-1,4
52301,15
-1,1
208526,37
176422,86
-1,0
283134,45
-1,0
428682,14
-1,0
-1,0
54602,353
212075,19
14274,1096
86074,100
56655,97
171460,150
100685,5
94361,22
-1,0
130899,566
69783,93
-1,0
92425,1
-1,4
24497,1411
224782,14
-1,4
487404,100
383690,390
5375,1200
23166,583
101368,1276
