160935,2119,186060121
537684,91,6266541
486969,91,6025767
671872,95,9275305
442605,99,15220070
391721,99,14208470
298985,85,3458980
485732,96,10180396
463125,92,6743819
95281,99,13328845
366111,90,5718241
270916,91,5917147
348418,95,9111177
239635,92,7017892
248204,87,3979691
175044,93,7287658
164583,91,6197533
162109,88,4439503
198997,92,6517552
299019,93,7587706
28863,99,24672293
183015,86,3632096
146035,92,6527210
379709,83,2746229
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
40781,903
15479,246
26195,220
114186,131
57753,266
129527,31
160445,9
-1,-1
-1,-1
160781,308
50996,313
81916,683
-1,-1
-1,-1
-1,-1
153276,350
252972,5
133200,48
55883,129
280831,9
138503,91
-1,-1
212975,9
-1,-1
242755,13
-1,-1
12917,294
150412,164
86193,436
191495,108
10767,65
109891,7
451230,6
204688,100
277325,14
28695,151
218889,18
353710,65
102332,2195
-1,-1
-1,-1
63754,35
165535,1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
200163,33
-1,-1
-1,-1
301575,16
-1,-1
-1,-1
11791,637
18913,100
74702,290
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
110255,41
-1,-1
-1,-1
-1,-1
-1,-1
226280,5
95441,40
566562,12
470502,207
52078,205
205013,407
