12013,2376,719635092
28138,99,34144950
49293,99,22663483
47291,99,57817983
39824,99,74775345
47854,99,69432516
12180,99,14756692
27428,99,44121854
5336,99,131015847
44649,99,17453771
105255,99,13325716
47353,99,15038259
26528,99,19524090
117246,99,13479723
65502,99,13252225
31768,99,17087044
48454,99,13615689
3898,99,22690095
31228,99,19273732
18498,99,31159325
214707,99,13862683
39455,99,13602034
26082,99,18892579
30613,99,13421394
9013,99,15228063
-1,0
-1,0
-1,0
-1,0
-1,0
-1,0
-1,0
17175,2110
27715,314
14762,541
16233,680
45683,362
60209,86
25761,127
404405,508
-1,2500
-1,0
203745,216
164091,2390
17333,880
129102,340
32877,1872
22211,169
161765,178
40992,355
87698,592
34146,1165
25700,67
106894,153
-1,0
111643,789
27869,755
19665,209
186540,25
233884,25
43968,516
9686,932
161588,53
17871,1223
20458,1302
17208,1262
59472,50
-1,0
19704,1126
147032,320
73433,655
26525,761
328754,41
14332,793
81599,471
888,12893
98539,160
24760,538
30683,353
123097,3
71981,311
103855,12
-1,0
6768,118
39951,384
38473,607
161021,26
17164,856
61044,132
72085,51
-1,0
171131,11
275358,109
30570,88
280785,21
27813,247
-1,1
-1,2
-1,4
102157,13
-1,0
2360,5744
105820,65
170692,15
-1,0
2795,79
159376,15
82884,129
30150,321
202647,481
26749,740
-1,0
9705,1029
136823,990
