16345,2376,566483636
96697,99,21233587
63426,99,20687031
34843,99,66230418
54213,99,62746279
51628,99,64821249
48067,99,13459497
104854,99,24581442
56645,99,17869872
43680,99,17204399
35045,99,14889117
73359,99,13671201
28032,99,18817846
60809,99,14362531
29061,99,14250618
69584,99,14131266
24615,99,14629948
45382,99,13493951
72555,99,14471316
21759,99,28702983
39546,99,25243223
51674,99,13233126
9739,99,30690395
58733,99,13230212
9785,99,13832129
-1,0
-1,0
-1,0
-1,0
-1,0
-1,0
-1,0
21932,1772
26596,294
15188,517
77084,248
33091,407
10633,222
40733,84
-1,466
-1,2260
-1,0
213412,204
114990,11080
5952,1068
4344,2283
32938,1834
20793,163
3014,3392
-1,1
43755,824
20350,82
-1,0
209700,23
38362,1600
201142,56
-1,0
-1,1
228020,25
112667,170
106079,68
62247,116
135912,242
147441,336
136671,237
35612,60
8473,371
25468,907
94456,505
37943,1204
29813,668
132956,83
23040,546
213161,180
133280,2117
27471,634
19899,599
86971,210
29854,10
118531,97
-1,1
-1,0
178371,10
46516,322
65493,285
165061,25
58122,266
17358,242
93756,46
-1,0
-1,1
135288,185
180846,21
106103,313
28396,216
19913,630
245960,55
21434,419
-1,0
-1,0
18308,2436
44808,120
107454,49
-1,0
44105,22
12861,1900
-1,1
-1,0
284010,296
28311,729
-1,1
41113,360
107007,1192
