64340,2274,532014226
215363,99,14888840
75138,99,18681360
17608,99,82013532
28151,99,74816873
36602,99,68415996
27728,99,13614582
36310,99,33421853
201070,99,13226028
175594,99,13062955
264182,98,12998227
145501,99,13036239
366019,98,12355420
18143,99,15634108
114237,99,13039089
16061,99,19903636
134838,98,13029756
73125,99,13102322
102831,99,13387696
82774,99,16610612
117422,99,15416732
83127,99,13039600
111199,99,13037972
3689,99,15280798
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
394318,143
-1,-1
1126934,2
956408,4
434863,45
541537,2
31310,90
576565,500
-1,-1
167883,360
171129,197
28216,38105
-1,-1
129193,204
108739,639
93622,20
29258,841
-1,-1
458500,111
258850,5
50679,351
37624,325
237606,153
72024,307
17936,180
22504,243
180285,28
104860,166
72966,113
294837,25
109452,281
179094,254
117256,259
41146,50
32202,517
169313,231
216143,112
42220,434
286707,39
104989,154
131544,283
75724,2808
79399,185
20943,519
157545,43
30638,8
32496,812
41022,72
30125,45
293316,5
106202,94
42208,350
150110,25
85674,132
175407,31
-1,-1
-1,-1
86151,217
175791,19
59517,428
39747,86
36666,119
127167,43
42676,61
9429,808
4278,319
123078,510
25563,152
18982,319
18603,3
45545,20
40578,541
125134,52
-1,-1
15119,2895
540188,204
1912,242
55059,242
156991,744
