90191,2162,287916744
170184,99,14445277
136455,99,14338000
135650,99,18099426
63167,99,38888784
57897,99,40011163
218319,86,3827310
36064,99,24855119
328169,97,11423022
24172,99,16139142
265328,92,6692333
150076,94,8503876
44905,99,14478321
173040,93,7545685
164833,88,4543481
146565,90,5775430
101670,94,8129859
128223,87,4235897
152564,92,6644793
130168,98,12750021
106829,99,14023453
166691,85,3266569
112621,91,6289974
223957,84,3009809
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
6224,2081
6782,332
2042,921
41268,288
25594,343
12471,135
28023,62
41858,1043
-1,-1
35030,1842
76733,191
50620,453
51423,1005
-1,-1
13485,1111
117698,8
14676,528
-1,-1
161577,179
25573,634
18870,62
36135,123
134401,25
110298,84
82536,72
81444,64
148994,134
80638,414
147508,137
47787,37
33754,804
41754,684
92217,134
26774,136
29959,333
389735,39
111536,1824
62268,154
17318,433
20448,7
66806,91
61113,21
-1,-1
169641,7
39189,86
15845,455
106332,25
15829,67
36248,24
87623,139
50323,48
21746,492
39295,62
-1,-1
161708,153
11430,170
35114,52
-1,-1
130571,7
68692,94
11633,306
135933,491
96746,595
50831,168
60782,1510
