77700,2234,322413323
259515,99,13722970
339298,98,12919443
279727,99,15162196
174258,99,29291802
125617,99,32238626
181747,95,9315166
161258,99,17505931
66910,99,15571018
201115,98,12588863
252956,98,12306626
157394,98,12401220
27069,99,17378055
51158,99,14230335
146465,92,6893857
135575,98,12354409
122648,98,12675563
100937,95,9675700
169346,96,9842782
129668,99,13734599
49438,99,20475820
123636,91,6327865
134576,94,8312887
123442,93,7487590
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
23275,1352
12942,343
20680,304
71834,216
32248,359
26317,114
126810,16
256452,535
-1,-1
-1,-1
328961,75
-1,-1
84456,332
136072,379
17140,74
101654,17
-1,-1
94486,514
35340,37
155387,43
192050,6
130547,492
118653,139
62622,9
71901,70
37285,140
207260,35
-1,-1
24216,204
89264,330
106813,386
87991,335
10003,70
-1,-1
114708,363
101440,348
224319,50
27924,160
88323,176
70271,474
133077,1928
151041,40
48984,256
108284,41
104519,2
126500,45
-1,-1
-1,-1
132017,11
104090,71
45388,251
64044,75
99299,93
134580,35
-1,-1
122488,8
69903,231
21454,97
37766,531
-1,-1
-1,-1
48502,22
-1,-1
-1,-1
119482,492
33021,129
94537,24
-1,-1
37032,22
68834,66
196706,12
208611,5
223209,330
539281,187
12491,677
156002,693
