96058,2217,454414473
94329,99,20278127
150571,99,15130425
34737,99,53892958
32550,99,68384173
27426,99,76425348
190716,95,9446066
31703,99,34268726
140978,99,13601208
285680,92,6829237
284146,95,9583259
221801,93,7593122
125280,99,13321033
147019,99,13126446
137221,95,9068919
208355,93,7600173
20392,99,14431373
126063,93,7411841
33886,99,17071325
50764,99,19322525
104712,99,15824894
180288,87,4132837
237517,88,4445163
35726,99,13225295
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
67142,738
239964,20
81663,90
32910,407
107034,201
349034,8
157169,12
5267,6011
-1,-1
-1,-1
103664,248
18484,40513
18660,679
39054,699
81406,878
28765,71
48170,466
64153,99
51116,729
296326,5
66091,234
1615,2284
49369,1245
45848,482
69340,8
136816,30
73176,76
77128,246
101757,65
297305,25
68641,434
72748,532
66710,447
135603,25
1339,2853
17177,1443
9512,3000
108010,169
132488,74
120721,123
503824,31
169197,1636
37913,436
11984,705
94651,71
138241,1
44190,534
92372,11
28531,46
334983,5
9442,687
111413,97
136809,27
221546,31
187196,29
14670,6
29344,322
727189,10
245771,9
61585,407
20316,139
12495,708
-1,-1
50342,32
45833,121
-1,-1
215032,148
34545,129
15042,356
58223,1
109887,11
5529,2281
50466,222
61245,109
399522,108
65682,642
67835,191
49795,2000
