92348,2300,317663239
122652,99,19583980
189971,99,15049484
276021,99,18351304
265266,99,27790636
338132,99,19659810
34109,99,13663008
272947,99,16458167
287059,99,13116748
19140,99,26839735
172888,99,13095491
66056,99,13991936
84232,99,14193618
210178,99,13063264
162560,96,10209588
139229,99,13160899
169903,97,11425976
199801,90,5545480
291277,91,6290636
269204,97,11595897
200875,99,14088705
219474,87,4327488
174376,95,8834994
183385,92,6535841
258752,70,790554
-1,0
-1,0
-1,0
-1,0
-1,0
-1,0
-1,0
64637,946
20960,407
71506,144
184758,106
148332,184
86206,65
86795,40
197889,629
-1,2500
-1,0
415810,109
-1,0
55301,652
142702,300
191071,295
215902,21
156281,209
112255,50
537044,106
-1,0
189145,9
277414,13
220391,23
135942,651
125441,162
-1,0
123641,44
72499,95
221557,48
166553,28
123721,69
104634,329
177111,294
102724,332
48888,53
-1,0
136821,96
297492,91
76567,630
19085,955
148272,80
145630,121
94130,418
119830,2305
-1,1
55510,302
246747,64
88873,4
-1,0
109931,10
-1,0
240010,7
186023,50
65361,334
94739,57
321211,35
-1,0
238511,27
-1,0
168162,13
337131,95
189117,21
-1,3
87501,98
-1,4
187214,129
-1,1
103707,12
-1,0
69448,1088
56197,107
174902,14
-1,0
143735,10
115547,86
209660,18
41709,228
171826,574
239768,543
95163,107
112837,138
368691,162
