87958,2295,429990262
75280,99,23539528
76000,99,19721125
46930,99,56996098
57222,99,62188231
67993,99,56913448
295631,90,5707332
70593,99,29675969
144916,99,13890421
53562,99,16072588
315345,97,10697483
232122,95,8907884
75661,99,14394857
270869,95,8961407
234249,90,5484061
210949,96,10327837
188073,95,8800450
168188,92,6738869
252384,93,7264066
29215,99,26272265
239634,99,13541342
155174,92,6714302
253044,90,5353753
210415,90,5369516
97879,91,6457430
-1,0
-1,0
-1,0
-1,0
-1,0
-1,0
-1,0
36384,1340
108388,75
21886,420
43379,397
80541,271
24506,153
124345,24
-1,482
-1,2072
-1,0
65744,400
138853,5132
16337,879
123501,345
120220,660
113894,43
61259,767
66246,158
35493,909
93516,400
25085,70
74703,267
144779,72
131134,658
75675,318
39670,78
159771,28
16959,346
110338,179
93358,85
8382,480
31204,861
10699,1847
42053,703
132142,25
-1,0
19476,1100
59166,742
134486,300
119188,209
98274,100
55194,277
138535,291
178141,1720
53020,366
7026,1103
174582,104
46619,7
103665,142
-1,1
-1,0
90959,19
32221,434
31700,703
164739,25
262071,50
29061,229
81320,49
-1,0
33894,390
36921,435
52173,63
118453,288
54238,140
38954,208
335127,23
24810,363
52142,140
-1,0
121792,605
26775,156
40872,208
-1,0
137028,10
61461,465
14729,859
64023,136
172480,562
289834,509
-1,0
43473,350
109339,1182
